Detailed Per Layer Profile
                                                               Bandwidth   time
#    Name                                                MFLOPs  (MB/s)    (ms)
===============================================================================
0    data                                                   0.0104425.1   0.005
1    conv0                                                 38.9  1592.5   2.912
2    conv1/dw                                              13.0   345.7   3.975
3    conv1                                                 92.2   377.3   3.651
4    conv2/dw                                               6.5  1626.1   1.690
5    conv2                                                 92.2   309.1   2.273
6    conv3/dw                                              13.0   591.5   2.326
7    conv3                                                184.3   411.6   3.413
8    conv4/dw                                               3.3  1444.8   0.952
9    conv4                                                 94.6   217.7   1.907
10   conv5/dw                                               6.7   594.2   1.194
11   conv5                                                189.3   182.3   4.554
12   conv6/dw                                               1.7  1146.7   0.619
13   conv6                                                 94.6   192.5   2.215
14   conv7/dw                                               3.3   316.3   1.143
15   conv7                                                189.3   227.1   3.755
16   conv8/dw                                               3.3   315.3   1.146
17   conv8                                                189.3   229.8   3.710
18   conv9/dw                                               3.3   312.3   1.157
19   conv9                                                189.3   228.2   3.736
20   conv10/dw                                              3.3   314.5   1.149
21   conv10                                               189.3   232.1   3.673
22   conv11/dw                                              3.3   314.8   1.148
23   conv11                                               189.3   230.4   3.700
24   conv12/dw                                              0.9   785.7   0.460
25   conv12                                               104.9   470.7   2.332
26   conv13/dw                                              1.8   294.2   0.724
27   conv13                                               209.7   471.6   4.655
28   conv14_1                                              52.4   449.2   1.548
29   conv14_2                                              59.0   740.2   3.633
30   conv15_1                                               3.3   402.6   0.371
31   conv15_2                                               5.3   939.6   0.657
32   conv16_1                                               0.6   322.3   0.208
33   conv16_2                                               2.4  1054.8   0.552
34   conv17_1                                               0.1   138.1   0.240
35   conv17_2                                               0.1   369.4   0.393
36   conv11_mbox_loc                                        4.4   944.9   0.386
37   conv11_mbox_loc_perm                                   0.0    36.3   0.229
38   conv11_mbox_loc_flat                                   0.0    62.3   0.265
39   conv11_mbox_conf                                      23.3   635.3   0.652
40   conv11_mbox_conf_perm                                  0.0   152.4   0.285
41   conv11_mbox_conf_flat                                  0.0   198.1   0.438
42   conv11_mbox_priorbox                                   0.0  1004.5   0.351
43   conv13_mbox_loc                                        4.9   495.6   0.489
44   conv13_mbox_loc_perm                                   0.0    62.9   0.073
45   conv13_mbox_loc_flat                                   0.0   135.6   0.068
46   conv13_mbox_conf                                      25.8   456.1   0.968
47   conv13_mbox_conf_perm                                  0.0   240.8   0.100
48   conv13_mbox_conf_flat                                  0.0   366.0   0.131
49   conv13_mbox_priorbox                                   0.0   951.0   0.205
50   conv14_2_mbox_loc                                      0.6   219.9   0.218
51   conv14_2_mbox_loc_perm                                 0.0    15.0   0.077
52   conv14_2_mbox_loc_flat                                 0.0    67.2   0.034
53   conv14_2_mbox_conf                                     3.2   427.7   0.345
54   conv14_2_mbox_conf_perm                                0.0   151.5   0.040
55   conv14_2_mbox_conf_flat                                0.0   228.1   0.053
56   conv14_2_mbox_priorbox                                 0.0   385.3   0.063
57   conv15_2_mbox_loc                                      0.1    95.6   0.169
58   conv15_2_mbox_loc_perm                                 0.0    19.5   0.021
59   conv15_2_mbox_loc_flat                                 0.0    45.8   0.018
60   conv15_2_mbox_conf                                     0.6   331.3   0.199
61   conv15_2_mbox_conf_perm                                0.0    91.1   0.024
62   conv15_2_mbox_conf_flat                                0.0   145.1   0.030
63   conv15_2_mbox_priorbox                                 0.0   134.2   0.033
64   conv16_2_mbox_loc                                      0.0    75.3   0.182
65   conv16_2_mbox_loc_perm                                 0.0    10.9   0.017
66   conv16_2_mbox_loc_flat                                 0.0    33.5   0.011
67   conv16_2_mbox_conf                                     0.3   241.0   0.263
68   conv16_2_mbox_conf_perm                                0.0    47.1   0.020
69   conv16_2_mbox_conf_flat                                0.0    94.9   0.020
70   conv16_2_mbox_priorbox                                 0.0    83.5   0.023
71   conv17_2_mbox_loc                                      0.0   183.2   0.033
72   conv17_2_mbox_loc_perm                                 0.0     2.6   0.019
73   conv17_2_mbox_loc_flat                                 0.0    13.2   0.007
74   conv17_2_mbox_conf                                     0.0   662.0   0.047
75   conv17_2_mbox_conf_perm                                0.0    14.2   0.017
76   conv17_2_mbox_conf_flat                                0.0    73.1   0.007
77   conv17_2_mbox_priorbox                                 0.0    13.8   0.018
78   mbox_conf_reshape                                      0.0   129.6   0.593
79   mbox_conf_softmax                                      0.1   539.2   0.142
80   mbox_conf_flatten                                      0.0   142.5   0.539
81   detection_out                                          0.0    17.9   0.828
-------------------------------------------------------------------------------
                                   Total inference time                   80.52
-------------------------------------------------------------------------------
